4 3
0.555701 1.392445 -0.112444
0.581837 1.377720 -0.107918
0.651710 1.334016 -0.156283
0.691763 1.358245 -0.092038
0.638989 1.336379 -0.174009
0.541492 1.413072 -0.085555
0.565871 1.393894 -0.091726
0.724916 1.367472 -0.087118
0.573955 1.392161 -0.118929
0.573225 1.379884 -0.107346
0.662846 1.350824 -0.120399
0.639636 1.405265 -0.110789
0.536739 1.403276 -0.075137
0.672011 1.411815 -0.087496
0.645306 1.366682 -0.107000
0.742368 1.361497 -0.113263
0.614336 1.350008 -0.137430
0.606521 1.396243 -0.062841
0.578196 1.402816 -0.114456
0.576145 1.376859 -0.105582
0.621901 1.359075 -0.111034
0.651630 1.378702 -0.090133
0.641970 1.389492 -0.094452
0.562938 1.384067 -0.093793
0.643487 1.378580 -0.061177
0.498858 1.431789 -0.053104
0.669085 1.367696 -0.088545
0.692615 1.388905 -0.035649
0.638186 1.392140 -0.069539
0.592611 1.370526 -0.122428
0.604053 1.380862 -0.106797
0.641182 1.367341 -0.103203
0.559691 1.388110 -0.092105
0.601111 1.401251 -0.068061
0.619505 1.417753 -0.060516
0.617959 1.389788 -0.059704
0.687055 1.365185 -0.074680
0.642169 1.375187 -0.068918
0.606854 1.374129 -0.081872
0.652930 1.374081 -0.067961
0.621066 1.373929 -0.074736
0.617308 1.372256 -0.086256
0.572909 1.380891 -0.080004
0.547266 1.405278 -0.055734
0.529000 1.411073 -0.063495
0.612307 1.371206 -0.099324
0.570237 1.410572 -0.041278
0.607051 1.394736 -0.057924
0.636874 1.388398 -0.044495
0.537410 1.415908 -0.043508
0.584503 1.383543 -0.080329
0.566120 1.409094 -0.067046
0.578720 1.397910 -0.063092
0.572384 1.403948 -0.055815
0.602189 1.369082 -0.085858
0.651284 1.391747 -0.055756
0.625396 1.394735 -0.065137
0.623157 1.379191 -0.065541
0.639898 1.388855 -0.041351
0.608711 1.385548 -0.045507
0.564739 1.402874 -0.027955
0.529801 1.411870 -0.063187
0.620588 1.388548 -0.034546
0.647504 1.380219 -0.052325
0.598249 1.388603 -0.061029
0.572787 1.389773 -0.070305
0.596972 1.381415 -0.081153
0.639465 1.374387 -0.071187
0.538320 1.405059 -0.061385
0.659158 1.387841 -0.032799
0.659785 1.377684 -0.039870
0.660615 1.377606 -0.047151
0.647180 1.385391 -0.028221
0.634816 1.404629 -0.030949
0.723214 1.395814 -0.046752
0.674561 1.372440 -0.063085
0.628171 1.383147 -0.047591
0.562087 1.409066 -0.036454
0.627981 1.376722 -0.068610
0.654835 1.388565 -0.019592
0.623005 1.387581 -0.028823
0.649811 1.388712 -0.032466
0.548608 1.421979 -0.044302
0.623636 1.395168 -0.032665
0.653622 1.381412 -0.042186
0.693218 1.387045 -0.032924
0.606667 1.389526 -0.042430
0.577482 1.416888 -0.029006
0.665624 1.364457 -0.082570
0.676135 1.371046 -0.053438
0.615775 1.386760 -0.029579
0.567026 1.409332 -0.032936
0.553643 1.413206 -0.034953
0.648012 1.390456 -0.028181
0.627998 1.387734 -0.037044
0.561905 1.401764 -0.032009
0.616886 1.384145 -0.054679
0.635227 1.387790 -0.039611
0.664322 1.393380 -0.028958
0.646865 1.385876 -0.030898
0.618668 1.395796 -0.030354
0.639117 1.389382 -0.037907
0.619579 1.381100 -0.045275
0.633979 1.401145 -0.025440
0.666070 1.388172 -0.034715
0.592871 1.383120 -0.054123
0.608053 1.409723 -0.027065
0.610363 1.388125 -0.044105
0.636551 1.380898 -0.049058
0.698576 1.386217 -0.037995
0.615605 1.385822 -0.031231
0.603995 1.379256 -0.048746
0.588086 1.400603 -0.024107
0.633903 1.390440 -0.024648
0.631291 1.398453 -0.023112
0.670886 1.396144 -0.028996
0.644996 1.386065 -0.027483
0.570020 1.405430 -0.044161
0.583861 1.397102 -0.021725
0.634536 1.383400 -0.035434
0.647166 1.393825 -0.026427
0.583701 1.403958 -0.011793
0.592284 1.403253 -0.020698
0.663842 1.386260 -0.030655
0.649484 1.388571 -0.022076
0.609039 1.388352 -0.029948
0.688176 1.391020 -0.020097
0.681738 1.378279 -0.029791
0.604685 1.398052 -0.024253
0.653631 1.385534 -0.044928
0.598248 1.386931 -0.036502
0.645418 1.386673 -0.022480
0.647649 1.396547 -0.016907
0.633895 1.387231 -0.023116
0.626387 1.392037 -0.018828
0.587887 1.401763 -0.017400
0.635845 1.386809 -0.016561
0.636955 1.394174 -0.019306
0.610486 1.398806 -0.014508
0.574128 1.401121 -0.030102
0.614539 1.396332 -0.011403
0.631070 1.389217 -0.014780
0.597191 1.397918 -0.018182
0.605781 1.395761 -0.016255
0.611537 1.394433 -0.010643
0.619787 1.391769 -0.015268
0.643738 1.396200 -0.028861
0.610434 1.395606 -0.016248
0.620785 1.397660 -0.011226
0.667538 1.382064 -0.022110
0.649258 1.384454 -0.016942
0.666818 1.389254 -0.020889
0.631157 1.384420 -0.028070
0.616066 1.400071 -0.013132
0.633327 1.386382 -0.025809
0.672860 1.387473 -0.016150
0.643599 1.381431 -0.026888
0.668538 1.387053 -0.014581
0.599138 1.393164 -0.019532
0.651211 1.388116 -0.015212
0.635378 1.389397 -0.014990
0.640326 1.390034 -0.014716
0.631677 1.385306 -0.019089
0.633663 1.388189 -0.021699
0.621881 1.388355 -0.016357
0.615433 1.391594 -0.012975
0.598452 1.397615 -0.012377
0.652936 1.396080 -0.015676
0.592724 1.403515 -0.019050
0.637050 1.384619 -0.023801
0.627850 1.390139 -0.014404
0.640141 1.386267 -0.018325
0.615286 1.391847 -0.019481
0.627447 1.389868 -0.018718
0.666308 1.385854 -0.020361
0.668109 1.384147 -0.019496
0.634661 1.386976 -0.016916
0.619144 1.388591 -0.015741
0.629316 1.383878 -0.022698
0.615516 1.391913 -0.010023
0.635109 1.389303 -0.007741
0.666618 1.386571 -0.009053
0.676272 1.384539 -0.014086
0.639596 1.385149 -0.018469
0.661848 1.384282 -0.011237
0.636563 1.384260 -0.017400
0.643100 1.382480 -0.022738
0.659915 1.389445 -0.012965
0.644515 1.388003 -0.010971
0.621195 1.388605 -0.012723
0.696097 1.385787 -0.011383
0.674491 1.390409 -0.010313
0.621274 1.393792 -0.011478
0.640520 1.386733 -0.011121
0.657947 1.388497 -0.010492
0.690770 1.380610 -0.020632
0.678396 1.389696 -0.006641
0.635369 1.392847 -0.011166
0.697006 1.386983 -0.013155
0.662727 1.385106 -0.010824
0.637186 1.389592 -0.011081
0.664707 1.383508 -0.012423
0.625623 1.391766 -0.008098
0.631053 1.388855 -0.011462
0.628332 1.394694 0.000312
0.613347 1.392818 -0.010920
0.671726 1.388018 -0.003483
0.639738 1.387237 -0.010403
0.633870 1.386934 -0.019924
0.692062 1.383852 -0.011821
0.631376 1.392210 -0.007995
0.640648 1.389673 -0.011331
0.648301 1.382472 -0.016495
0.681848 1.387402 -0.009363
0.647974 1.386635 -0.009172
0.616952 1.393802 -0.008979
0.664053 1.385882 -0.006889
0.643762 1.388147 -0.008241
0.670872 1.382428 -0.011763
0.665102 1.385981 -0.006226
0.706022 1.387735 -0.009029
0.683499 1.386457 -0.004810
0.668990 1.386672 -0.008835
0.664932 1.384657 -0.012093
0.669044 1.385748 -0.006411
0.671454 1.383207 -0.013025
0.625944 1.388425 -0.017259
0.690183 1.383946 -0.011864
0.647062 1.387005 -0.012247
0.663050 1.384452 -0.008902
0.637782 1.391326 -0.005303
0.617363 1.392100 -0.011186
0.640514 1.387333 -0.008966
0.666614 1.386949 -0.005567
0.642036 1.390310 -0.003753
0.643311 1.388480 -0.009329
0.645768 1.388733 -0.005362
0.666893 1.385413 -0.006629
0.667266 1.385706 -0.007553
0.665418 1.387104 -0.005107
0.646931 1.390685 -0.000160
0.676485 1.384108 -0.008752
0.656428 1.386021 -0.008174
0.669903 1.385899 -0.005914
0.669970 1.387997 -0.004484
0.677969 1.385909 -0.007805
0.668062 1.387086 -0.004516
0.665230 1.385974 -0.005400
0.661855 1.383555 -0.010448
0.655290 1.390788 -0.004934
0.665370 1.387806 -0.002736
0.653864 1.384820 -0.012317
0.678778 1.385695 -0.006411
0.674531 1.385063 -0.006480
0.652268 1.387349 -0.006683
0.666472 1.387925 -0.001923
0.657728 1.385339 -0.006994
0.658180 1.387519 -0.003852
0.662320 1.386541 -0.006788
0.643546 1.389152 -0.003688
0.669229 1.384393 -0.007767
0.648746 1.389719 -0.003857
0.660481 1.384972 -0.006870
0.668013 1.385358 -0.007615
0.663816 1.385726 -0.006626
0.685463 1.386551 -0.003700
0.685014 1.387763 -0.002926
0.674924 1.386263 -0.003126
0.655955 1.387960 -0.007673
0.661352 1.386665 -0.006344
0.672815 1.385579 -0.007687
0.666025 1.386580 -0.003384
0.658586 1.386106 -0.005646
0.664467 1.388305 -0.002523
0.654608 1.386952 -0.007020
0.672208 1.385131 -0.006370
0.672616 1.386778 -0.003516
0.693831 1.386641 -0.001784
0.665105 1.386068 -0.004327
0.663722 1.386716 -0.003798
0.677311 1.385645 -0.007028
0.659586 1.385834 -0.005087
0.669273 1.388312 -0.001800
0.669506 1.386471 -0.003490
0.659743 1.387130 -0.005668
0.661689 1.385577 -0.006096
0.676403 1.385246 -0.004849
0.652960 1.388823 -0.002550
0.660700 1.386893 -0.005100
0.670789 1.386513 -0.002943
0.684627 1.384252 -0.006257
0.671879 1.385107 -0.006638
0.660320 1.388473 -0.002384
0.658173 1.388934 -0.001799
0.674649 1.385170 -0.006002
0.660785 1.388743 -0.000618
0.677209 1.384212 -0.006264
0.676272 1.383797 -0.007654
0.662248 1.387541 -0.003227
0.689083 1.383316 -0.009578
0.649809 1.388015 -0.003421
0.668943 1.386816 -0.002828
0.671337 1.383933 -0.007272
0.668369 1.384856 -0.007099
0.683626 1.384681 -0.005728
0.678020 1.385825 -0.004478
0.673157 1.386553 -0.003817
0.682829 1.385452 -0.003408
0.666051 1.386883 -0.001930
0.688945 1.386312 -0.002346
0.667206 1.386022 -0.003492
0.674722 1.388317 -0.001172
0.657234 1.386971 -0.002761
0.673956 1.386804 -0.002551
0.688305 1.384297 -0.006031
0.660948 1.386273 -0.004051
0.672662 1.386630 -0.001393
0.673920 1.384262 -0.006451
0.654070 1.388098 -0.001803
0.681343 1.384214 -0.006070
0.682406 1.384799 -0.004529
0.681715 1.385857 -0.003005
0.678490 1.386149 -0.002079
0.663834 1.386036 -0.003270
0.664230 1.386500 -0.002472
0.683162 1.385649 -0.002472
0.681388 1.384988 -0.004256
0.663523 1.386993 -0.003201
0.684523 1.385219 -0.003358
0.676761 1.385645 -0.003571
0.677550 1.386583 -0.001015
0.670353 1.387647 -0.000472
0.672430 1.386513 -0.001694
0.666148 1.385538 -0.004266
0.654274 1.387407 -0.002766
0.677328 1.385661 -0.003995
0.668523 1.385427 -0.004020
0.681967 1.385769 -0.002501
0.679962 1.386333 -0.001759
0.673709 1.384945 -0.004597
0.678145 1.385942 -0.002799
0.678703 1.386253 -0.001592
0.657324 1.387349 -0.001527
0.669030 1.385851 -0.004114
0.685776 1.384863 -0.005122
0.678431 1.386267 -0.001552
0.668054 1.386684 -0.001585
0.675857 1.386033 -0.002249
0.692925 1.385622 -0.002631
0.672222 1.385989 -0.003479
0.684942 1.386215 -0.001262
0.687449 1.385550 -0.002770
0.687669 1.382760 -0.008268
0.677600 1.385314 -0.003464
0.659925 1.387848 0.000049
0.664331 1.386468 -0.002471
0.669217 1.385202 -0.004432
0.678820 1.386047 -0.002029
0.681601 1.386864 -0.000006
0.679157 1.385717 -0.002442
0.681967 1.386380 -0.001304
0.669300 1.386385 -0.001863
0.677359 1.386562 -0.000922
0.674587 1.385056 -0.004087
0.685981 1.385730 -0.001970
0.680070 1.386220 -0.001073
0.672585 1.386103 -0.002188
0.673856 1.386453 -0.001046
0.685278 1.385289 -0.002892
0.690795 1.385468 -0.002962
0.682184 1.386054 -0.001574
0.680720 1.385232 -0.003782
0.679179 1.386170 -0.001154
0.675304 1.385945 -0.001859
0.680774 1.385136 -0.003376
0.670710 1.385968 -0.002630
0.684370 1.386401 -0.000750
0.680950 1.385620 -0.002187
0.689959 1.386395 -0.001451
0.678360 1.385811 -0.002290
0.684013 1.384843 -0.003510
0.669924 1.386052 -0.002957
0.684204 1.386483 -0.000283
0.682799 1.386789 0.000142
0.688769 1.385157 -0.002968
0.684537 1.384326 -0.005272
0.681222 1.385892 -0.001839
0.682439 1.386164 -0.000842
0.679167 1.386684 -0.000535
0.684119 1.386701 0.000270
0.681182 1.386720 -0.000654
0.677743 1.386332 -0.001390
0.679510 1.386371 -0.001131
0.686627 1.385681 -0.001705
0.686112 1.385842 -0.001790
0.685102 1.385788 -0.001722
0.673323 1.387792 -0.000069
0.681933 1.386268 -0.000662
0.679726 1.386251 -0.000828
0.688615 1.385798 -0.001385
0.686863 1.385739 -0.001777
0.684796 1.385953 -0.001271
0.681502 1.386109 -0.000998
0.674957 1.386169 -0.001587
0.682061 1.386144 -0.001339
0.681578 1.385872 -0.001484
0.689317 1.386259 -0.000921
0.688863 1.385825 -0.001300
0.672672 1.385736 -0.002769
0.681606 1.385549 -0.002156
0.687717 1.385945 -0.001211
0.683860 1.385811 -0.001631
0.673728 1.386814 -0.000822
0.686383 1.386102 -0.001199
0.685479 1.385272 -0.002647
0.685449 1.385704 -0.001761
0.679849 1.385511 -0.002370
0.687854 1.384991 -0.003354
0.688684 1.385407 -0.002611
0.676186 1.386225 -0.001707
0.684234 1.386562 -0.000333
0.686163 1.385965 -0.001027
0.687230 1.385600 -0.002264
0.678084 1.385998 -0.001632
0.681902 1.386447 -0.000420
0.682585 1.387093 0.000567
0.678884 1.386819 -0.000807
0.685016 1.386305 -0.001432
0.690336 1.385652 -0.001853
0.693262 1.385046 -0.002825
0.686860 1.385810 -0.001452
0.683343 1.385938 -0.001566
0.685159 1.385370 -0.002687
0.681105 1.385968 -0.001258
0.691387 1.385184 -0.002893
0.685254 1.385342 -0.002406
0.681038 1.385881 -0.001396
0.682885 1.386039 -0.001051
0.681497 1.386014 -0.001066
0.686816 1.385901 -0.001384
0.687336 1.384985 -0.003183
0.681993 1.386364 -0.001494
0.680823 1.386978 -0.000326
0.684095 1.386404 -0.000747
0.685537 1.385924 -0.001212
0.677652 1.386476 -0.000876
0.686437 1.386549 -0.000027
0.686046 1.386809 0.000522
0.678304 1.385105 -0.003212
0.683078 1.385619 -0.001991
0.682456 1.386412 -0.000539
0.683126 1.385060 -0.003165
0.684583 1.386134 -0.001396
0.676222 1.385492 -0.003123
0.690680 1.386240 -0.000940
0.685812 1.386569 -0.000644
