2 2
0.292082 1.609376 -0.335067
0.281628 1.646788 -0.248628
0.301530 1.595715 -0.330275
0.304188 1.594705 -0.309697
0.293291 1.599371 -0.336925
0.281541 1.655366 -0.233440
0.332143 1.533534 -0.293434
0.326245 1.545651 -0.327072
0.263465 1.703313 -0.233085
0.320251 1.552133 -0.354518
0.256536 1.709898 -0.224418
0.292487 1.622007 -0.288060
0.296198 1.605551 -0.288763
0.286583 1.663169 -0.278349
0.300358 1.618388 -0.345213
0.295001 1.632100 -0.206885
0.288795 1.664808 -0.246226
0.288942 1.635652 -0.232442
0.317558 1.543495 -0.364163
0.257832 1.718651 -0.161819
0.302614 1.588923 -0.323947
0.276754 1.678024 -0.176671
0.302545 1.584096 -0.347877
0.293261 1.642004 -0.230873
0.296679 1.622882 -0.211946
0.297944 1.585783 -0.348218
0.268014 1.710167 -0.175037
0.287287 1.642675 -0.216530
0.295887 1.607794 -0.277148
0.290333 1.638980 -0.231680
0.284906 1.647462 -0.247538
0.285078 1.632303 -0.282975
0.302620 1.594286 -0.333244
0.283448 1.658049 -0.185071
0.277864 1.645999 -0.262964
0.277785 1.656387 -0.247730
0.283385 1.639616 -0.269775
0.266348 1.696286 -0.162325
0.291669 1.658525 -0.198411
0.297768 1.625706 -0.250860
0.276688 1.670403 -0.192322
0.299424 1.594304 -0.303557
0.286092 1.647408 -0.261481
0.262413 1.697354 -0.198302
0.271337 1.667877 -0.238671
0.276862 1.661677 -0.220683
0.302072 1.611222 -0.242605
0.290404 1.654208 -0.232932
0.320574 1.550327 -0.314369
0.283125 1.645639 -0.225502
0.276605 1.662743 -0.238878
0.278956 1.664672 -0.208413
0.297502 1.619778 -0.263097
0.263301 1.722912 -0.114545
0.297835 1.608475 -0.279527
0.264173 1.710352 -0.142492
0.318136 1.551604 -0.327310
0.288066 1.649069 -0.183681
0.301952 1.594224 -0.308047
0.297850 1.622864 -0.222950
0.259880 1.729260 -0.092377
0.287585 1.637771 -0.220340
0.265850 1.710986 -0.155669
0.267552 1.696535 -0.127046
0.277350 1.661655 -0.211164
0.287755 1.644952 -0.171964
0.285593 1.657006 -0.206134
0.262293 1.702507 -0.154505
0.282612 1.647712 -0.222087
0.282766 1.660996 -0.184747
0.284198 1.634518 -0.262878
0.305172 1.590992 -0.289594
0.289879 1.636561 -0.198672
0.280015 1.650992 -0.210042
0.254404 1.734523 -0.134871
0.251295 1.741094 -0.115302
0.294814 1.656703 -0.147835
0.329880 1.538141 -0.313408
0.261663 1.705478 -0.162040
0.297574 1.615712 -0.242946
0.291514 1.627231 -0.247866
0.243332 1.770442 -0.074135
0.282861 1.644971 -0.223097
0.307320 1.583937 -0.290756
0.278931 1.668949 -0.164676
0.281187 1.673762 -0.200273
0.277948 1.704809 -0.169986
0.278543 1.681223 -0.158829
0.275901 1.669411 -0.162463
0.297750 1.614423 -0.274438
0.278388 1.681774 -0.126064
0.282655 1.657563 -0.166785
0.258994 1.724188 -0.114116
0.268323 1.693572 -0.136737
0.272478 1.683769 -0.197392
0.294481 1.629905 -0.214686
0.279197 1.658697 -0.200326
0.260241 1.726373 -0.084082
0.285822 1.662991 -0.180837
0.295453 1.637075 -0.199709
0.281051 1.657153 -0.176175
0.266197 1.693871 -0.160262
0.296691 1.620823 -0.187862
0.249577 1.747964 -0.112635
0.262334 1.714478 -0.135641
0.255733 1.733347 -0.115501
0.280919 1.688313 -0.129455
0.254501 1.740851 -0.120016
0.272065 1.688126 -0.139868
0.274316 1.678380 -0.170634
0.268867 1.691105 -0.146774
0.271141 1.685973 -0.147996
0.249926 1.757843 -0.076464
0.247908 1.760984 -0.109322
0.273763 1.675262 -0.170537
0.282225 1.646819 -0.218154
0.276461 1.676597 -0.156380
0.240144 1.778289 -0.072546
0.271440 1.697984 -0.148203
0.273371 1.701810 -0.094064
0.276731 1.683907 -0.116211
0.298629 1.620457 -0.180449
0.264880 1.703279 -0.132185
0.276790 1.672834 -0.134733
0.284570 1.659075 -0.170466
0.258777 1.730111 -0.094427
0.271375 1.687091 -0.162400
0.270471 1.693958 -0.119406
0.269923 1.696063 -0.128685
0.291601 1.644235 -0.144539
0.267113 1.702449 -0.140483
0.277832 1.678478 -0.149520
0.274980 1.667367 -0.204630
0.265635 1.702523 -0.149040
0.273216 1.689149 -0.127070
0.272761 1.695959 -0.121067
0.286355 1.648314 -0.174566
0.293759 1.642407 -0.183231
0.257701 1.727520 -0.092259
0.261504 1.716290 -0.132538
0.260355 1.714826 -0.139085
0.284814 1.671204 -0.103709
0.274113 1.699106 -0.094487
0.252636 1.744138 -0.091026
0.259472 1.745796 -0.079214
0.253400 1.741296 -0.101241
0.261031 1.707777 -0.146480
0.262445 1.733511 -0.134283
0.318374 1.592185 -0.136461
0.280075 1.676681 -0.106034
0.263589 1.707176 -0.128344
0.271147 1.686881 -0.141093
0.275169 1.684508 -0.127575
0.266282 1.732825 -0.057613
0.278688 1.675102 -0.151232
0.267756 1.705269 -0.089083
0.270640 1.699103 -0.125616
0.267094 1.697563 -0.160045
0.262706 1.714626 -0.109996
0.256728 1.716532 -0.159172
0.282509 1.653659 -0.173013
0.272177 1.699798 -0.107547
0.280719 1.659028 -0.184187
0.283014 1.667309 -0.128690
0.244198 1.770667 -0.079324
0.271538 1.695515 -0.104607
0.268636 1.699862 -0.107136
0.274881 1.675024 -0.165676
0.282483 1.665648 -0.119400
